Layer,Name,GEOID,Population,Longitude,Latitude,LDPC_2021,LDPC_2021_moe,LDPC_2020,LDPC_2020_moe,LDPC_2019,LDPC_2019_moe,LDPC_2018,LDPC_2018_moe,LDPC_2017,LDPC_2017_moe,LDPCH_2016,LDPCH_2016_moe,LDPCH_2015,LDPCH_2015_moe,LDPCH_2014,LDPCH_2014_moe,LDPCH_2013,LDPCH_2013_moe,LDPCH_2012,LDPCH_2012_moe,LDPCH_2011,LDPCH_2011_moe,LDPCH_2010,LDPCH_2010_moe,LDPP_2021,LDPP_2021_moe,LDPP_2020,LDPP_2020_moe,LDPP_2019,LDPP_2019_moe,LDPP_2018,LDPP_2018_moe,LDPP_2017,LDPP_2017_moe,LDPPH_2016,LDPPH_2016_moe,LDPPH_2015,LDPPH_2015_moe,LDPPH_2014,LDPPH_2014_moe,LDPPH_2013,LDPPH_2013_moe,LDPPH_2012,LDPPH_2012_moe,LDPPH_2011,LDPPH_2011_moe,LDPPH_2010,LDPPH_2010_moe,EDG-I_2017-2021,EDG-I_2017-2021_moe,EDG-I_2016-2020,EDG-I_2016-2020_moe,EDG-I_2014-2018,EDG-I_2014-2018_moe,EDG-I_2015-2019,EDG-I_2015-2019_moe,DIV_2017-2021,DIV_2017-2021_moe,DIV_2016-2020,DIV_2016-2020_moe,DIV_2015-2019,DIV_2015-2019_moe,DIV_2014-2018,DIV_2014-2018_moe
Community area,Rogers Park,1,"52,772",-87.67017100,42.00963000,30,,26,,37,,37,,37,,9,,6,,12,,13,,18,,8,,10,,3.1,0.9,2.6,0.8,2.9,0.8,2.9,0.8,3.0,0.8,0.7,0.4,0.5,0.3,0.8,0.4,0.9,0.4,1.2,0.5,0.6,0.3,0.6,0.3,50.23,22.65,44.28,18.92,55.42,12.79,49.38,12.50,4.53,1.06,5.31,1.16,5.02,0.93,4.70,0.84
Community area,Norwood Park,10,"41,109",-87.80345100,41.98524800,1,,2,,1,,0,,6,,1,,1,,1,,0,,0,,0,,2,,0.2,0.4,0.5,0.6,0.2,0.3,0.0,,0.8,0.5,0.3,0.5,0.3,0.5,0.3,0.4,0.0,,0.0,,0.0,,0.5,0.6,50.38,28.08,59.41,23.41,56.61,15.20,54.75,16.43,2.82,0.90,3.06,0.84,3.34,0.94,3.48,0.93
Community area,Jefferson Park,11,"26,201",-87.77116500,41.97883600,1,,5,,9,,7,,7,,1,,2,,1,,1,,1,,0,,0,,0.3,0.5,1.4,1.0,2.1,1.1,1.7,1.0,1.9,1.1,0.3,0.4,0.5,0.6,0.3,0.5,0.2,0.4,0.3,0.4,0.0,,0.0,,64.47,29.58,57.36,31.78,61.79,17.89,62.46,27.00,4.16,1.39,3.08,1.20,2.90,0.81,2.71,0.76
Community area,Forest Glen,12,"19,579",-87.75835800,41.99393800,2,,3,,0,,0,,0,,0,,0,,1,,1,,0,,0,,1,,0.7,0.8,1.0,0.9,0.0,,0.0,,0.0,,0.0,,0.0,,0.4,0.7,0.4,0.7,0.0,,0.0,,0.4,0.6,59.87,18.77,76.06,16.47,72.51,13.47,76.01,16.10,2.35,1.02,2.33,1.08,2.70,1.11,2.77,1.03
Community area,North Park,13,"17,522",-87.72357800,41.98365100,7,,5,,5,,6,,7,,3,,3,,5,,4,,4,,2,,1,,2.0,1.3,1.5,1.1,1.1,0.8,1.5,1.0,1.9,1.2,0.8,0.7,0.8,0.8,1.4,1.0,1.1,0.9,1.2,1.0,0.5,0.6,0.3,0.5,56.49,24.51,40.80,23.16,37.88,17.59,41.51,14.37,4.09,1.23,4.51,1.31,3.94,1.13,3.60,1.31
Community area,Albany Park,14,"48,549",-87.72155800,41.96807800,20,,24,,35,,29,,29,,12,,13,,11,,14,,16,,25,,13,,1.7,0.6,2.2,0.7,2.5,0.7,2.0,0.6,2.0,0.6,0.8,0.4,0.8,0.4,0.7,0.3,0.9,0.4,1.0,0.4,1.4,0.5,0.8,0.4,66.61,37.88,50.33,28.11,50.58,11.46,43.28,12.14,3.98,0.96,3.38,0.83,3.69,1.01,3.15,0.86
Community area,Portage Park,15,"63,038",-87.76340100,41.95404300,12,,13,,16,,23,,20,,4,,9,,4,,8,,4,,7,,13,,1.0,0.5,1.1,0.5,1.1,0.5,1.6,0.6,1.4,0.5,0.3,0.2,0.7,0.4,0.3,0.2,0.6,0.3,0.3,0.2,0.5,0.3,0.9,0.4,45.39,13.98,50.43,29.56,67.44,15.14,56.81,14.09,3.23,0.74,3.31,0.76,2.78,0.56,2.88,0.57
Community area,Irving Park,16,"51,911",-87.72345700,41.95358900,13,,13,,17,,19,,13,,3,,5,,7,,7,,13,,9,,18,,1.4,0.6,1.3,0.6,1.5,0.6,1.6,0.6,1.1,0.5,0.3,0.2,0.4,0.3,0.5,0.3,0.5,0.3,0.9,0.4,0.6,0.3,1.3,0.5,63.28,18.98,69.06,20.12,64.78,12.27,69.44,19.91,2.79,0.56,2.55,0.56,2.67,0.62,2.81,0.62
Community area,Dunning,17,"43,120",-87.80601500,41.94652200,3,,5,,5,,3,,4,,2,,2,,1,,1,,0,,1,,2,,0.5,0.5,0.9,0.7,0.8,0.6,0.4,0.4,0.6,0.5,0.3,0.4,0.3,0.4,0.2,0.3,0.1,0.2,0.0,,0.2,0.2,0.3,0.4,39.89,19.18,49.01,23.63,50.05,13.90,47.84,12.53,3.19,0.95,3.65,0.99,3.58,0.82,2.93,0.69
Community area,Montclare,18,"14,412",-87.79803300,41.92930600,1,,1,,2,,4,,0,,0,,0,,0,,1,,4,,4,,3,,0.4,0.6,0.4,0.7,0.6,0.7,1.3,1.1,0.0,,0.0,,0.0,,0.0,,0.3,0.5,1.2,1.0,1.2,1.0,0.8,0.7,42.82,36.99,45.70,36.45,37.26,32.50,42.41,40.06,3.55,2.28,4.00,2.09,3.42,1.85,3.45,1.57
Community area,Belmont Cragin,19,"78,151",-87.76550200,41.92727500,32,,32,,42,,46,,58,,18,,12,,19,,22,,24,,27,,35,,1.5,0.4,1.6,0.5,1.4,0.4,1.7,0.4,2.1,0.4,0.7,0.3,0.4,0.2,0.6,0.2,0.7,0.3,0.8,0.3,0.8,0.3,1.1,0.3,42.99,11.22,44.63,11.20,50.59,9.90,47.13,10.16,3.68,0.73,3.53,0.69,3.36,0.64,2.97,0.54
Community area,West Ridge,2,"77,139",-87.69501700,42.00158300,47,,51,,82,,71,,67,,13,,15,,21,,24,,24,,22,,25,,2.3,0.5,2.4,0.6,3.4,0.6,3.2,0.6,3.1,0.6,0.7,0.3,0.8,0.3,1.1,0.4,1.2,0.4,1.2,0.4,1.1,0.4,1.3,0.4,55.19,13.00,58.21,13.02,53.66,12.90,50.74,9.89,3.87,0.82,3.75,0.87,3.70,0.79,3.90,0.82
Community area,Hermosa,20,"24,127",-87.73474100,41.92435300,19,,18,,23,,22,,24,,6,,7,,10,,4,,8,,7,,10,,2.6,1.0,2.7,1.0,2.5,0.8,2.4,0.8,2.6,0.9,0.7,0.5,0.7,0.4,1.0,0.5,0.4,0.3,0.8,0.4,0.7,0.4,1.0,0.5,35.44,22.01,34.05,22.51,33.81,19.21,37.10,22.35,5.33,1.50,4.55,1.43,4.63,1.39,4.80,1.30
